,Name,Name_no_underscore,Gender,Branches,Links,Main_character,Warehouse_worker,Community
0,A.J.,A.J.,Male,Dunder Mifflin Nashua,"['Michael Scott', 'Pam Beesly', 'Holly Flax']",0,0,0
1,Abby,Abby,Female,[],"['Pam Beesly', 'Stacy']",0,0,2
2,Alan,Alan,Male,[],"['Pam Beesly', 'Ryan Howard', 'Kelly Kapoor']",0,0,3
3,Alan_Brand,Alan Brand,Male,[],"['Michael Scott', 'David Wallace', 'Charles Miner', 'Oscar Martinez', 'Jan Levinson', 'Jim Halpert']",0,0,3
4,Alex,Alex,Male,[],"['Karen Filippelli', 'Pam Beesly']",0,0,3
5,Alice,Alice,Female,['Dunder Mifflin Scranton'],"['Pete Miller', 'Erin Hannon', 'Andy Bernard']",0,0,4
6,Amy,Amy,Female,[],['Toby Flenderson'],0,0,0
7,Andy_Bernard,Andy Bernard,Male,"['Dunder Mifflin Stamford', 'Dunder Mifflin Scranton']","['Erin Hannon', 'Kevin Malone', 'Todd Packer', 'Carla Fern', 'Pete Miller', 'Gabe Lewis', 'David Wallace', 'Angela Martin', 'Deangelo Vickers', 'Walter Bernard Jr.', 'Karen Filippelli', 'Jim Halpert', 'Robert California', 'Bob Vance', 'Pam Beesly', 'Cathy Simms', 'Darryl Philbin', 'Unnamed Cousin', 'Ryan Howard', 'Michael Scott', 'Jo Bennett', 'Walter Bernard Sr.', 'Stanley Hudson', 'Nellie Bertram', 'Alice', 'Nick', 'Ellen Bernard', 'Josh Porter', 'Garbage', 'Dwight Schrute', 'Jan Levinson', 'Jamie', 'Toby Flenderson']",1,0,4
8,Andy_Roddick,Andy Roddick,Male,[],"['Astrid Levinson', 'Jan Levinson']",0,0,6
9,Angela%27s_cats,Angela%27s cats,Unknown,[],"['Garbage', 'Angela Martin', 'Bandit', 'Andy Bernard', 'Sprinkles']",0,0,5
10,Angela_Martin,Angela Martin,Female,['Dunder Mifflin Scranton'],"['Erin Hannon', 'Kevin Malone', 'Karen Filippelli', 'Rachael Martin', 'Pam Beesly', 'Phillip Schrute', 'Phyllis Vance', 'Michael Scott', 'Charles Miner', 'Oscar Martinez', 'Meredith Palmer', 'Sprinkles', 'Bandit', 'Andy Bernard', 'Garbage', 'Robert Lipton', 'Dwight Schrute']",1,0,5
11,Angelo_Grotti,Angelo Grotti,Male,[],"['Dwight Schrute', 'Pam Beesly', 'Oscar Martinez', 'Jim Halpert', 'Andy Bernard']",0,0,4
12,Arnie_Rissman,Arnie Rissman,Male,[],"['Michael Scott', 'Evan']",0,0,0
13,Ashley,Ashley,Female,[],"['Erin Hannon', 'Oscar Martinez']",0,0,4
